Date,Close ,Open,Hign,Low,Volume,Percent
2019年11月8日,377.25,375.25,383.75,372.5,-,0.53%
2019年11月7日,375.25,379.25,380,373.75,219.15K,-0.92%
2019年11月6日,378.75,382.25,385,377.5,185.34K,-0.79%
2019年11月5日,381.75,383.25,384.75,380.5,157.13K,-0.39%
2019年11月4日,383.25,386.75,387.75,383,145.37K,-1.54%
2019年11月1日,389.25,389.25,391.75,386.25,151.94K,-0.19%
2019年10月31日,390,390.25,391,384.75,176.19K,-0.19%
2019年10月30日,390.75,385.75,391.25,385.25,177.03K,1.17%
2019年10月29日,386.25,383.5,387.5,382,153.73K,0.59%
2019年10月28日,384,386,386.5,383.25,122.79K,-0.71%
2019年10月25日,386.75,387,390,385.75,131.68K,0.00%
2019年10月24日,386.75,388.5,390.75,385.25,130.66K,-0.26%
2019年10月23日,387.75,387.75,389.5,384,117.56K,-0.06%
2019年10月22日,388,387,392.5,385,136.69K,0.19%
2019年10月21日,387.25,390,393.75,386.5,150.19K,-0.96%
2019年10月18日,391,394,395.75,389.75,122.01K,-0.95%
2019年10月17日,394.75,391.75,397.25,391.5,141.53K,0.77%
2019年10月16日,391.75,392,392.75,387.5,139.68K,-0.38%
2019年10月15日,393.25,397,398.5,392.5,143.68K,-1.13%
2019年10月14日,397.75,401.25,402.5,393.25,170.71K,0.00%
2019年10月11日,397.75,380.75,398.75,380.5,272.44K,4.60%
2019年10月10日,380.25,392.75,395,378.25,297.05K,-3.55%
2019年10月9日,394.25,395.5,397.25,393,140.85K,-0.38%
2019年10月8日,395.75,387.5,396.5,386,200.46K,2.26%
2019年10月7日,387,387.5,387.75,385,100.42K,0.58%
2019年10月4日,384.75,388,389,383.75,116.34K,-1.03%
2019年10月3日,388.75,387,390.75,385.5,125.49K,0.26%
2019年10月2日,387.75,390.5,391.75,385.5,158.92K,-1.21%
2019年10月1日,392.5,386.75,392.75,385.25,227.07K,1.16%
2019年9月30日,388,372,388.25,371.5,337.25K,4.44%
2019年9月27日,371.5,371.25,373,369.75,90.80K,-0.27%
2019年9月26日,372.5,373.5,375.75,368.25,175.42K,-0.47%
2019年9月25日,374.25,375.25,377.5,372.25,119.19K,-0.13%
2019年9月24日,374.75,372,376,370.25,144.29K,0.40%
2019年9月23日,373.25,371.25,374.5,371,100.44K,0.67%
2019年9月20日,370.75,372.75,374.5,369.5,133.00K,-0.54%
2019年9月19日,372.75,371.5,373.75,369.5,117.07K,0.40%
2019年9月18日,371.25,367.75,372,365.75,126.83K,0.88%
2019年9月17日,368,374,374.25,366,154.63K,-1.60%
2019年9月16日,374,372,374.75,367.5,133.44K,5.20%
2019年9月13日,355.5,358.5,358.5,358.5,0.12K,0.28%
2019年9月12日,354.5,349.75,353.75,349.5,0.15K,1.79%
2019年9月11日,348.25,349.75,349.75,344.75,0.33K,-0.07%
2019年9月10日,348.5,344,349.5,344,0.31K,2.27%
2019年9月9日,340.75,343.25,343.25,340,0.94K,-0.51%
2019年9月6日,342.5,347.5,348.25,341.5,1.36K,-1.15%
2019年9月5日,346.5,346.5,349.75,346.5,1.81K,0.14%
2019年9月4日,346,350.5,351,344.5,3.85K,-1.07%
2019年9月3日,349.75,358.75,359,349,5.34K,-2.30%
2019年8月30日,358,359.75,364.5,356.75,11.24K,-0.49%
2019年8月29日,359.75,363,369,357.5,122.79K,-0.83%
2019年8月28日,362.75,357.25,365.5,355.25,172.93K,1.61%
2019年8月27日,357,359,360,356.75,129.89K,-0.42%
2019年8月26日,358.5,358,362,357,122.54K,-0.35%
2019年8月23日,359.75,362.75,363,357.5,169.87K,-0.96%
2019年8月22日,363.25,363,366.5,359,99.25K,0.21%
2019年8月21日,362.5,360,364,357,125.86K,0.83%
2019年8月20日,359.5,366.5,370.25,359.25,89.47K,-1.51%
2019年8月19日,365,367.25,368.25,363.25,78.54K,-1.62%
2019年8月16日,371,361.5,371.25,361.25,104.81K,2.84%
2019年8月15日,360.75,360.25,363.75,358.25,108.78K,0.49%
2019年8月14日,359,366.25,370.5,358.5,185.09K,-1.91%
2019年8月13日,366,379,379,365.5,312.97K,-5.00%
2019年8月12日,385.25,409.75,410,385.25,248.13K,-6.09%
2019年8月9日,410.25,410.75,417,407.25,185.37K,-0.18%
2019年8月8日,411,407.25,412,405.5,184.79K,1.11%
2019年8月7日,406.5,404.75,407.5,400.5,167.53K,0.62%
2019年8月6日,404,405.75,408,400.75,113.07K,-0.31%
2019年8月5日,405.25,400,406.75,391,109.69K,1.44%
2019年8月2日,399.5,394.75,400,393.5,90.36K,1.72%
2019年8月1日,392.75,401.75,403,387.25,145.33K,-1.87%
2019年7月31日,400.25,410.75,413.75,400,151.79K,-2.67%
2019年7月30日,411.25,417,417,410.25,81.03K,-1.38%
2019年7月29日,417,413.25,419.5,412,90.11K,0.60%
2019年7月26日,414.5,418.25,419.5,413,120.75K,-0.96%
2019年7月25日,418.5,424,425.75,418,172.28K,-1.30%
2019年7月24日,424,425,430.5,421.5,93.16K,-0.35%
2019年7月23日,425.5,423.75,426.5,418.25,131.11K,0.77%
2019年7月22日,422.25,430.75,432.25,421,110.95K,-1.97%
2019年7月19日,430.75,425.5,434,423.75,114.52K,1.47%
2019年7月18日,424.5,435,436,423.25,156.00K,-2.64%
2019年7月17日,436,435.25,441.5,431.5,125.87K,0.17%
2019年7月16日,435.25,437.75,440.75,429,144.49K,-1.30%
2019年7月15日,441,459.25,460,439.75,164.47K,-1.89%
2019年7月12日,449.5,447.75,457,447.75,0.27K,0.39%
2019年7月11日,447.75,433.25,448,433.25,0.60K,3.11%
2019年7月10日,434.25,430,434.75,428,0.49K,0.58%
2019年7月9日,431.75,437.25,437.75,429.25,0.45K,-1.54%
2019年7月8日,438.5,440.75,442.75,432,2.08K,1.04%
2019年7月5日,434,433,435.5,427,2.13K,0.23%
2019年7月3日,433,417,433.75,417,3.47K,4.72%
2019年7月2日,413.5,412.5,415.5,408.25,6.53K,0.36%
2019年7月1日,412,424.25,424.75,410.25,13.48K,-1.96%
2019年6月28日,420.25,439,455,411,34.51K,-4.49%
2019年6月27日,440,443,445.5,438.5,141.13K,-0.73%
2019年6月26日,443.25,447,447.25,440.75,158.88K,-0.95%
2019年6月25日,447.5,451,453,446.5,158.43K,0.17%
2019年6月24日,446.75,442.25,447.75,440.25,172.09K,1.02%
2019年6月21日,442.25,452,454,441.75,251.09K,-1.72%
2019年6月20日,450,441.5,450.75,436.5,198.63K,2.04%
2019年6月19日,441,449.75,451.75,438.25,193.33K,-1.95%
2019年6月18日,449.75,455.5,458,442.75,221.47K,-1.10%
2019年6月17日,454.75,458.25,464.25,450.5,279.48K,0.39%
2019年6月14日,453,442,457.25,441.75,312.81K,2.49%
2019年6月13日,442,429.75,442.75,429.5,402.15K,2.79%
2019年6月12日,430,427.75,434.5,424,331.36K,0.53%
2019年6月11日,427.75,415,430.25,408.25,360.32K,2.89%
2019年6月10日,415.75,413,416.5,409,279.95K,0.00%
2019年6月7日,415.75,421,423.5,415,227.75K,-1.13%
2019年6月6日,420.5,414.5,421.5,407,279.01K,1.39%
2019年6月5日,414.75,424.25,424.75,412.25,231.86K,-2.47%
2019年6月4日,425.25,435,436,421.25,306.70K,0.24%
2019年6月3日,424.25,426.25,430.75,418.25,288.44K,-0.64%
2019年5月31日,427,435,437.5,423.25,302.17K,-2.12%
2019年5月30日,436.25,416.5,436.75,413.25,324.91K,4.18%
2019年5月29日,418.75,429.25,438,412.25,484.44K,-0.36%
2019年5月28日,420.25,408,421,407.5,417.68K,3.96%
2019年5月24日,404.25,390.5,404.75,389.75,299.95K,3.72%
2019年5月23日,389.75,394,399,387,340.12K,-1.20%
2019年5月22日,394.5,393.25,396.5,386.25,291.26K,0.06%
2019年5月21日,394.25,393.25,399,391.25,451.26K,1.35%
2019年5月20日,389,386,391.5,385.75,358.73K,1.50%
2019年5月17日,383.25,380,384.75,380,319.50K,1.12%
2019年5月16日,379,368.75,380.75,368.75,248.51K,2.57%
2019年5月15日,369.5,369,380,368,336.99K,2.50%
2019年5月14日,360.5,354.25,360.75,353.5,0.20K,3.74%
2019年5月13日,347.5,335.5,348.25,335.5,0.29K,1.46%
2019年5月10日,342.5,346.5,346.5,338.25,0.31K,-0.58%
2019年5月9日,344.5,350,350,344,0.66K,-3.03%
2019年5月8日,355.25,356.5,356.5,353.25,0.86K,-0.77%
2019年5月7日,358,357,359.25,355,1.16K,0.63%
2019年5月6日,355.75,352.5,356,349,1.71K,-2.00%
2019年5月3日,363,362.25,363.25,359.5,1.65K,0.28%
2019年5月2日,362,361,362.5,358.5,4.31K,0.56%
2019年5月1日,360,353.5,360.5,353.5,8.29K,1.91%
2019年4月30日,353.25,352.25,354,349.25,14.38K,0.36%
2019年4月29日,352,353.25,356,351.25,250.77K,0.21%
2019年4月26日,351.25,347.25,353.5,347,166.75K,1.08%
2019年4月25日,347.5,346,351,342.25,236.88K,0.22%
2019年4月24日,346.75,351,352.5,345.5,241.39K,-1.28%
2019年4月23日,351.25,354.75,355,350.25,194.77K,-0.99%
2019年4月22日,354.75,359,359,354.25,144.71K,-1.05%
2019年4月19日,358.5,358.5,358.5,358.5,-,0.00%
2019年4月18日,358.5,358,359.25,357,102.30K,0.07%
2019年4月17日,358.25,358.25,360,356.75,148.18K,-0.21%
2019年4月16日,359,362.5,362.5,357.25,192.35K,-1.03%
2019年4月15日,362.75,361.25,364.25,361,208.54K,0.48%
2019年4月12日,361,360.25,361.5,358.5,95.87K,0.28%
2019年4月11日,360,361.25,363,358.5,264.73K,-0.48%
2019年4月10日,361.75,360.25,362.75,360,253.30K,0.49%
2019年4月9日,360,359.75,362.25,355.25,275.45K,0.00%
2019年4月8日,360,362.25,363.5,359.5,269.56K,-0.69%
2019年4月5日,362.5,364.5,364.75,360.5,273.06K,-0.75%
2019年4月4日,365.25,362.75,366.25,362.75,159.33K,0.69%
2019年4月3日,362.75,361.25,364.75,360.5,135.85K,0.35%
2019年4月2日,361.5,362.25,363.5,359.25,117.19K,-0.07%
2019年4月1日,361.75,356.5,363,356.5,239.35K,1.47%
2019年3月29日,356.5,373.75,375,356,441.01K,-4.68%
2019年3月28日,374,373.75,374.75,372,105.83K,0.07%
2019年3月27日,373.75,376.75,377,372,127.92K,-0.93%
2019年3月26日,377.25,379.25,380.5,375.5,165.18K,-0.66%
2019年3月25日,379.75,378.75,380.75,376.75,155.85K,0.40%
2019年3月22日,378.25,375.75,380.75,375.5,222.58K,0.53%
2019年3月21日,376.25,371,377.5,370.5,220.23K,1.28%
2019年3月20日,371.5,371.5,372.5,368.75,101.48K,0.07%
2019年3月19日,371.25,372,373.75,367.75,159.38K,-0.07%
2019年3月18日,371.5,374,375.5,370.25,169.24K,-0.47%
2019年3月15日,373.25,369.25,373.75,369,197.27K,3.25%
2019年3月14日,361.5,360.25,363.25,360,0.39K,1.19%
2019年3月13日,357.25,357.25,359.5,355,0.32K,0.21%
2019年3月12日,356.5,353.25,357.75,352.75,0.80K,1.13%
2019年3月11日,352.5,357.5,357.5,353,1.75K,-0.63%
2019年3月8日,354.75,357.75,358.25,354,2.27K,-0.35%
2019年3月7日,356,362.25,362.25,355.75,2.48K,-1.79%
2019年3月6日,362.5,366,366,361,2.92K,-0.96%
2019年3月5日,366,366,367.25,364.5,4.57K,0.27%
2019年3月4日,365,365.25,368,364.5,5.27K,0.27%
2019年3月1日,364,361.75,364,357.5,12.36K,0.55%
2019年2月28日,362,363.75,364.75,361.25,23.51K,-0.48%
2019年2月27日,363.75,366,368.25,362.5,189.22K,-0.68%
2019年2月26日,366.25,370.75,371.25,365.5,242.77K,-1.15%
2019年2月25日,370.5,377.75,378.5,370,344.71K,-1.27%
2019年2月22日,375.25,374.75,377.75,374.5,316.66K,-0.07%
2019年2月21日,375.5,371,378.5,370.5,257.19K,1.28%
2019年2月20日,370.75,371.5,373.5,368.5,310.67K,0.27%
2019年2月19日,369.75,374.25,376.25,369,230.71K,-1.40%
2019年2月18日,375,374.75,375,374.75,-,0.07%
2019年2月17日,374.75,374.75,374.75,374.75,-,0.00%
2019年2月15日,374.75,374.75,376.5,373,209.10K,0.00%
2019年2月14日,374.75,378.75,379,374,225.29K,-1.06%
2019年2月13日,378.75,377.5,379,376.25,243.88K,0.13%
2019年2月12日,378.25,373.5,378.75,373,291.26K,1.48%
2019年2月11日,372.75,374.5,375,371.75,309.36K,-0.47%
2019年2月10日,374.5,374.25,374.5,374.25,-,0.07%
2019年2月8日,374.25,376.5,381.75,374,340.78K,-0.60%
2019年2月7日,376.5,379.75,380.25,376.25,259.74K,-0.92%
2019年2月6日,380,380.5,380.75,379,145.15K,-0.20%
2019年2月5日,380.75,379.5,381.25,377,171.95K,0.40%
2019年2月4日,379.25,377.75,379.75,376.5,145.83K,0.26%
2019年2月3日,378.25,378.25,378.25,378.25,-,0.00%
2019年2月1日,378.25,376.5,380.75,376.5,151.47K,0.46%
2019年1月31日,376.5,381,381.5,375.75,205.75K,-1.25%
2019年1月30日,381.25,377.75,381.5,377.5,198.90K,1.06%
2019年1月29日,377.25,379.75,380.75,376,187.02K,-0.66%
2019年1月28日,379.75,379.5,381,378,102.14K,0.00%
2019年1月27日,379.75,380,380,379.75,-,-0.13%
2019年1月25日,380.25,377,380.5,376,134.09K,0.86%
2019年1月24日,377,378.75,379.75,375.75,124.11K,-0.46%
2019年1月23日,378.75,379.5,381.75,378,127.61K,-0.07%
2019年1月22日,379,380.75,382.25,376.75,211.43K,-0.39%
2019年1月20日,380.5,380.5,380.5,380.5,-,-0.33%
2019年1月18日,381.75,379.75,383,377.75,191.03K,0.46%
2019年1月17日,380,374,381.5,373.75,207.63K,1.60%
2019年1月16日,374,372.75,375,372.5,164.72K,0.74%
2019年1月15日,371.25,379.5,381,371,251.26K,-1.92%
2019年1月14日,378.5,378.5,381,377,144.74K,0.00%
2019年1月13日,378.5,378.25,378.5,378.25,-,0.07%
2019年1月11日,378.25,377,379.25,376.75,131.82K,0.53%
2019年1月10日,376.25,381.5,382.75,376,181.39K,-1.51%
2019年1月9日,382,380.5,383.5,380.5,192.06K,0.53%
2019年1月8日,380,382.5,384.5,379,172.29K,-0.59%
2019年1月7日,382.25,382.25,384,381.75,110.62K,0.00%
2019年1月6日,382.25,382.75,382.75,382,-,-0.20%
2019年1月4日,383,380,383.5,379.75,178.17K,0.86%
2019年1月3日,379.75,375.5,380.5,374.75,101.46K,1.06%
2019年1月2日,375.75,375.25,377.75,374,104.72K,0.20%
2018年12月31日,375,375.5,377,372.75,91.13K,-0.13%
2018年12月28日,375.5,374.5,377.5,374.5,89.17K,0.27%
2018年12月27日,374.5,373.25,376.5,373.25,96.24K,0.33%
2018年12月26日,373.25,378.25,379.25,372.5,97.15K,-1.19%
2018年12月24日,377.75,378.25,379,375.25,54.84K,-0.20%
2018年12月21日,378.5,375.5,379.5,374.75,138.73K,0.87%
2018年12月20日,375.25,381.75,382.75,375,205.50K,-1.70%
2018年12月19日,381.75,385,385.25,381.5,107.24K,-0.97%
2018年12月18日,385.5,383.75,386.5,383.25,131.88K,0.39%
2018年12月17日,384,384.25,386,383.25,97.62K,1.92%
2018年12月14日,376.75,378,379,374.25,0.36K,0.33%
2018年12月13日,375.5,375,377.5,374,0.23K,-0.20%
2018年12月12日,376.25,375.5,378,375.5,0.63K,0.33%
2018年12月11日,375,373.75,376.5,372.75,1.37K,0.20%
2018年12月10日,374.25,374.25,376,372.75,1.66K,0.07%
2018年12月7日,374,371.75,374.75,371.5,2.24K,0.54%
2018年12月6日,372,374,374.5,369.25,2.30K,-0.60%
2018年12月5日,374.25,373.5,376,372.5,2.09K,0.00%
2018年12月4日,374.25,370,374.25,369.5,2.93K,0.81%
2018年12月3日,371.25,372.75,374,369.5,7.58K,1.30%
2018年11月30日,366.5,360.75,366.75,360.5,17.99K,1.73%
2018年11月29日,360.25,360.5,363,359,186.62K,-0.07%
2018年11月28日,360.5,356.25,361.5,356,221.95K,1.12%
2018年11月27日,356.5,356,358.5,355.5,248.13K,0.14%
